source,record_index,record_id,name,effect_slot,raw_id,value,description
Firttech,312,312,炎殺戟,0,8,0,古倫德的槍技之一，將帶有火炎之力的長槍全力打擊一個敵人。
Firttech,339,339,炎殺彈,0,8,0,
Firttech,408,408,離火神訣,0,8,0,引離火之氣應地脈之向而發，可憑空造出烈焰焚燒一名敵人。
Firttech,409,409,焚炎之陣,0,8,0,引離火之氣循運四方地象，能自敵陣地面引出烈焰，焚燒所有陣中敵人。 
Firttech,410,410,七燁真火,0,8,0,引離火之氣懸罡風之位而發，可自空中引天火捲焚一橫排敵人，威力極強。 
Firttech,411,411,天火之術,0,8,0,以秘儀請召焰尊火獸封豨之力，在空中懸熾聚焰而發，其神火天焰能將敵群一舉焚滅。
Firttech,412,412,九俱焚滅,0,8,0,此術能交織天地兩氣而成至熾至熱的真火，並化為烈焰旋風席捲敵陣，將之燒殺殆盡。
Firttech,336,336,魔獄冰嵐,0,9,50,
Firttech,340,340,冰破飛錐,0,9,60,
Firttech,368,368,青色魔霧,0,9,90,
Firttech,383,383,冰魄晶壁,0,9,90,冰獸冱蚑的絕技之一，製造一面絕對零度的永凍冰壁，能在一定時間防護各種攻擊。
Firttech,413,413,天霜雪舞,0,9,10,初級的冥儀冰咒，引冥凜凍氣圍繞一直列敵人身上，令其遭受凜凍之創。
Firttech,414,414,冰華之陣,0,9,20,以玄凜凍氣循地脈陰象而發，可生結冰刃於敵人腳下造成凍創之傷。
Firttech,415,415,玄凜冰煞,0,9,30,將玄凜寒氣乘罡風迸發，令一橫排敵人所在之處盡遭冰刃割裂凍凜，威力極強。 
Firttech,416,416,冰獄寒嵐,0,9,40,極強的的冥儀冰咒，所引絕凜凍氣能瞬間結水為冰，瞬間予所有敵人致死的傷害。
Firttech,417,417,魂凍冰魄,0,9,50,最強的冥儀冰咒，能引四周寒慄絕凜之氣聚敵群之中，並型化為巨大冰刃凍戮所有敵人。
Ail2,360,360,封凜冰露,0,9,30,以凜儀密法凝聚凍氣而成的寒露，使用後可造出凍慄冰嵐攻敵，效似「冰獄寒嵐」。
