CALL指令VA,可达请求码,请求PUSH指令,说明,PASS
0x0041F322,0x67,0x0041F31E,FightRole建立后的默认请求,PASS
0x0041FB85,0x70,0x0041FB83,固定0x70请求,PASS
0x0041FFC0,0x71,0x0041FFBE,固定0x71请求,PASS
0x0042011B,0x67,0x00420117,角色复位链一,PASS
0x004203B4,0x67,0x004203A6,角色复位链二,PASS
0x0042141D,0x67,0x004213F5,结果应用链,PASS
0x00423770,0x72/0x6C/0x6D,0x00423752/0x00423766/0x0042376E,BC6/BBE/其它分支共享CALL,PASS
0x00442AC5,0x68,0x00442ABD,7D4且当前请求67时转请求68,PASS
0x00442AF0,0x68,0x00442AE8,BBA保持/重试68,PASS
0x00442B1C,0x67,0x00442B14,BB9保持/重试67,PASS
0x00442B3F,0x67,0x00442B37,BBE收尾请求67,PASS
0x0044337B,0x6A,0x00443377,class普通路由,PASS
0x004433F3,0x6A,0x004433EF,class一二四路由,PASS
0x004434A8,0x69,0x00443487,固定0x69请求,PASS
0x00443535,0x6E,0x00443533,固定0x6E请求,PASS
0x004436F1,0x73,0x004436E7,固定0x73请求,PASS
0x00443894,0x74,0x00443892,固定0x74请求,PASS
0x00443F4D,0x67,0x00443F49,新建/恢复角色默认请求,PASS
